#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
80.40000000000633,-1469973.5,153896.85874817224
80.80000000000682,-1429941.625,187438.6607588773
81.20000000000731,-1401529.375,209290.9849635017
81.6000000000078,-1378894.0,223185.14543901524
82.00000000000828,-1362339.0,233157.7093980339
82.40000000000877,-1349762.5,240964.815521024
82.80000000000926,-1343256.875,249535.20864359307
83.20000000000975,-1338271.5,253806.21643694444
83.60000000001024,-1337175.125,258170.82212230552
84.00000000001073,-1338802.0,262035.74431435482
84.40000000001122,-1340204.0,263875.03454702743
84.8000000000117,-1343904.75,266729.924610479
85.2000000000122,-1345232.0,266901.3065635759
85.60000000001268,-1346373.5,267689.87855889247
86.00000000001317,-1347138.125,267872.6218295853
86.40000000001366,-1346485.375,266733.7046355085
86.80000000001415,-1346048.0,266680.5898846885
87.20000000001464,-1340815.25,266571.5417355187
87.60000000001513,-1334242.375,265315.5684844017
88.00000000001562,-1327780.5,264234.6358834135
88.4000000000161,-1322310.5,264794.0332535459
88.8000000000166,-1316566.0,264190.83337253693
89.20000000001708,-1307860.75,265176.05312529486
89.60000000001757,-1299602.5,263592.4140615398
90.00000000001806,-1290521.75,263326.64270663273
90.40000000001855,-1285966.0,264523.60434691794
90.80000000001904,-1282193.625,265158.0756476227
91.20000000001953,-1278339.25,266032.27851280704
91.60000000002002,-1274920.875,265439.79492097907
92.0000000000205,-1277181.5,266775.0924558339
92.400000000021,-1278871.75,267879.7663622102
92.80000000002148,-1283975.5,270402.8236947737
93.20000000002197,-1289959.0,271250.80487387895
93.60000000002246,-1297574.5,270963.2304592642
94.00000000002295,-1307690.75,274038.81341455714
94.40000000002344,-1314700.5,271915.7072787209
94.80000000002393,-1323223.0,273096.0268419989
95.20000000002442,-1327741.0,272176.1735342146
95.6000000000249,-1333631.125,272405.2884749737
96.0000000000254,-1335041.0,269963.36356507475
96.40000000002588,-1339013.75,270439.2540041783
96.80000000002637,-1338091.25,270653.1606700142
97.20000000002686,-1335173.5,269192.282008893
97.60000000002735,-1329403.5,265180.0257135014
98.00000000002784,-1324330.75,266161.487857184
98.40000000002833,-1317874.875,265533.83958363015
98.80000000002882,-1309872.25,265440.906014121
99.2000000000293,-1304729.125,266175.1696562326
99.6000000000298,-1297524.5,265023.5395102792
100.00000000003028,-1290173.5,263799.8755389093
100.40000000003077,-1285210.0,263750.7182803189
100.80000000003126,-1281799.625,263349.3838015947
101.20000000003175,-1279648.25,264880.58111659763
101.60000000003224,-1278597.75,265766.84179493575
102.00000000003273,-1280640.75,268366.5283934459
102.40000000003322,-1282448.25,267734.92997538485
102.8000000000337,-1288336.75,270102.8171727166
103.2000000000342,-1297012.75,271561.2836469353
103.60000000003468,-1304302.875,270066.461346297
104.00000000003517,-1312811.875,270921.8422591809
104.40000000003566,-1321143.625,272259.169405107
104.80000000003615,-1328893.375,272296.120601428
105.20000000003664,-1334192.875,271096.46723899565
105.60000000003713,-1338647.25,271182.06642167165
106.00000000003762,-1339908.375,269222.3004100038
106.4000000000381,-1341926.75,269157.026041347
106.8000000000386,-1340195.25,269078.22467438725
107.20000000003908,-1338906.0,269396.55275929684
107.60000000003957,-1336691.875,267441.7806913035
108.00000000004006,-1330553.75,265353.9426680022
108.40000000004055,-1324418.75,265243.61768872617
108.80000000004104,-1316252.25,264939.808911683
109.20000000004153,-1309090.25,263825.5599792183
109.60000000004202,-1299275.375,264111.0130205373
110.0000000000425,-1292123.75,264494.3756707226
110.400000000043,-1286536.0,266885.27019330615
110.80000000004348,-1280763.75,265333.7423540581
111.20000000004397,-1278848.375,266814.7270240355
111.60000000004446,-1276013.75,265273.6539733161
112.00000000004495,-1278750.5,268950.4318643607
112.40000000004544,-1279714.0,269795.555730717
112.80000000004593,-1284993.25,269763.131283663
113.20000000004642,-1293710.75,271758.2239145198
113.6000000000469,-1300919.625,271658.19449492276
114.0000000000474,-1310985.75,272530.54241545615
114.40000000004788,-1317594.25,272572.06077032315
114.80000000004837,-1324948.0,270493.20537356334
115.20000000004886,-1333205.25,272002.30774576415
115.60000000004935,-1336916.125,270970.69333528524
116.00000000004984,-1339850.5,270587.3458714514
116.40000000005033,-1339591.5,268547.18983554095
116.80000000005082,-1339905.375,268190.46547858114
117.2000000000513,-1335822.375,267015.13453634124
117.60000000005179,-1333269.625,267550.31752743595
118.00000000005228,-1328463.75,267348.0951285191
118.40000000005277,-1321929.0,266112.5770024413
118.80000000005326,-1314847.75,265161.4278272581
119.20000000005375,-1307950.5,264870.51957620826
119.60000000005424,-1301768.125,264491.31124317535
120.00000000005473,-1295440.25,264650.3093615972
